last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price
06-12-2024 13:10,-0.15,16450,0,-50,0,0.1,13025,3575,N,725,N,0.19,0.8,501425,-125,0,0.2,0.2,22725,-19975,YES,21300,YES,-0.08,-0.55,195850,0,0,-0.35,-0.4,20125,4975,N,3650,N,-0.45,-5.05,11850,330,-45,2.3,8.95,5625,-135,-9135,0.62
06-12-2024 13:15,-14.5,22650,150,-25,-14.55,-13.05,17100,-1775,N,3800,N,0.21,-8.15,422500,150,-500,-8.35,-8.45,20200,6550,Y,15900,N,-0.09,11.95,225925,0,-50,11.5,11.4,26225,10425,N,-6350,N,-0.44,-14.55,4185,-270,0,-31.25,-23.1,5430,-1455,2325,0.17
06-12-2024 13:20,-14.15,21350,125,125,-15.75,-16.1,11325,-1550,N,34125,N,0.08,-5.1,616450,225,-450,-4.55,-4.65,20975,-26275,N,12200,N,-0.24,9.6,370075,75,0,9.15,9.2,21100,-8025,Y,-16925,N,-0.5,-36.4,5265,810,-15,-22.15,-29.5,5265,-1455,6270,0.14
06-12-2024 13:25,-1.5,14575,-175,-100,1.85,0.8,12525,1475,N,-17650,Y,0.05,1.45,341500,325,-125,2.2,2.2,26525,18275,Y,-975,Y,-0.12,-4.25,186625,-25,875,-4.3,-4.2,23450,-2275,N,15075,Y,-0.24,4.1,3885,-795,-45,4.15,-2.7,5610,720,-6585,0.12
06-12-2024 13:30,19.15,39325,-175,-100,13.7,15.5,13175,1675,N,-14300,N,0.23,3.7,495575,-75,50,4,4.05,22675,21100,N,-12600,Y,-0.13,-6.8,216925,0,-175,-6.9,-6.95,22200,4850,N,-8100,N,-0.36,47,4815,-30,105,47.85,47.4,5685,-1050,-570,0.21
06-12-2024 13:35,-21.1,29825,175,425,-20.1,-25.9,14675,525,N,925,N,0.04,-6.9,685900,-100,175,-7.05,-7.1,26750,-37700,N,6600,N,-0.29,10.4,317400,150,125,10.4,10.55,30200,0,Y,-6250,N,-0.34,-38.4,5745,-15,45,-48.5,-38.85,5130,8850,-1290,0.2
06-12-2024 13:40,15.1,20475,-325,2575,16.15,17,11375,1200,N,7225,N,0.04,3.3,497475,2350,650,3.1,3.3,22075,11375,Y,7800,N,-0.18,-8.4,258125,50,0,-8.55,-8.55,22025,8475,N,6525,N,-0.34,27,6495,-15,0,42.65,36.1,5835,1410,9045,0.22
06-12-2024 13:45,5.85,32800,275,-3075,2.15,4,14925,17650,N,-1375,Y,0.19,-1,346000,150,225,-0.95,-0.95,25475,-16950,N,6450,N,-0.12,2.3,119725,75,-50,1.7,1.55,21250,25,Y,-5950,N,-0.17,19,15150,-405,15,19,21.2,5520,14775,-10050,0.71
06-12-2024 13:50,-28.3,29850,250,200,-24.05,-22.35,13925,875,N,2400,N,0.05,-8.1,448650,-425,100,-7.75,-7.75,23475,-25675,N,7725,N,-0.22,12.1,264650,-200,0,12,12.05,24325,15550,N,-7000,N,-0.25,-51.25,11250,0,-15,-57.55,-50.45,6195,-1320,240,0.43
06-12-2024 13:55,13.65,35725,25,-200,11,7.5,15700,1550,N,1625,Y,0.01,2.4,379175,450,225,2.2,2.3,30775,25250,Y,15125,N,-0.18,-4.55,169275,-50,575,-4.35,-4.25,23700,74550,YES,925,YES,-0.13,28.9,6585,0,0,20.65,20.4,7425,4155,255,0.2
