last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,pe_bid_ask_diff,pe_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_3,close_3,high,low,avg_trade_price,last_traded_time,ltp,vol_traded_today,non_zero_vol,bid,ask,bid_price,ask_price,ce_bid_ask_diff,ce_bid_ask_pr_diff,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,open_2,close_2,high,low,avg_trade_price
04-04-2025 13:50,-5.1,158025,168,89250,60675,-6.2,-6.15,28575,-236.05,35025,-7425,N,5625,N,350.1,345,354.85,338.85,253.27,04-04-2025 13:50,-1.35,4337250,180,1034925,2190150,-1.4,-1.35,-1155225,-26.2,63525,-29100,YES,96750,YES,26.15,24.8,26.5,24.65,61.52
04-04-2025 13:55,3.2,162675,147,99150,67800,3.75,3.75,31350,-198.95,43950,2925,N,-3375,YES,345,348.2,350.45,341.05,253.66,04-04-2025 13:55,-0.65,1165050,180,1951875,2274225,-0.7,-0.7,-322350,-28.65,68850,37350,Y,-42600,Y,24.8,24.15,25.25,23.8,61.19
04-04-2025 14:00,8.8,215100,143,78150,90000,8.8,8.65,-11850,-230.9,36900,-2475,Y,-10350,YES,348.2,357,363.55,343.5,254.2,04-04-2025 14:00,-1.1,1479600,181,2048400,1859775,-1.15,-1.15,188625,-27.3,57075,54150,N,-25875,N,24,22.9,24.6,22.1,60.75
04-04-2025 14:05,-3,109275,145,71625,84450,-5.5,-5.5,-12825,-231.6,38700,-12075,Y,0,N,356,353,359.1,346.55,254.48,04-04-2025 14:05,0.7,1077600,180,1788525,2567175,0.7,0.7,-778650,-25.15,55800,31350,N,2625,YES,22.9,23.6,23.95,22.5,60.44
04-04-2025 14:10,-7.5,129300,148,97425,69525,-7.05,-6.85,27900,-232.5,36900,-6375,N,5625,N,352.5,345,354.15,340.35,254.78,04-04-2025 14:10,0.4,1030800,180,1658925,2456400,0.45,0.45,-797475,-26.5,71250,-3975,YES,-9675,Y,23.5,23.9,24.55,23.2,60.15
04-04-2025 14:15,-0.8,110400,136,81225,74550,-0.15,-0.15,6675,-214,35325,5175,N,2100,YES,345,344.2,346.75,337.35,255.02,04-04-2025 14:15,-0.1,872550,181,1854150,2630400,-0.05,-0.1,-776250,-27.45,68775,6900,N,8325,N,24,23.9,24.6,23.5,59.92
04-04-2025 14:20,0.05,141525,146,71775,86400,1.6,1.45,-14625,-223.8,40725,2625,Y,3525,N,344.2,344.25,351.85,340.65,255.35,04-04-2025 14:20,-0.35,929925,179,1595550,2385075,-0.35,-0.3,-789525,-24.1,54600,65625,Y,-69600,Y,23.85,23.5,24.3,22.3,59.66
04-04-2025 14:25,5.85,151950,154,71250,114975,4.95,4.85,-43725,-231.35,42675,-225,Y,-9975,YES,345.1,350.95,358.2,343.6,255.73,04-04-2025 14:25,-0.75,960300,182,2283900,2270100,-0.9,-0.9,13800,-27.4,63600,-13050,YES,10200,YES,23.45,22.7,23.7,21.8,59.4
04-04-2025 14:30,2.4,137700,147,87225,79500,2.75,2.75,7725,-218.7,43875,3825,N,22200,Y,350.75,353.15,358.95,345.1,256.06,04-04-2025 14:30,-0.85,1072050,181,2214750,2386650,-0.8,-0.85,-171900,-25.45,63675,3375,N,3675,N,22.65,21.8,23.25,21.2,59.1
04-04-2025 14:35,-4,176100,157,69825,98400,-3.4,-3.4,-28575,-226.9,42150,-4350,Y,-3750,YES,353.4,349.4,363.15,348.45,256.5,04-04-2025 14:35,0.35,1027800,181,2460000,2487600,0.4,0.35,-27600,-24.85,60150,5700,N,-68475,Y,21.8,22.15,22.3,20.9,58.82
04-04-2025 14:40,11,138450,147,52800,91650,10,9.95,-38850,-227.45,34500,-5325,Y,1050,N,349.4,360.4,365.75,348.6,256.85,04-04-2025 14:40,-0.4,1370700,180,2362275,2729700,-0.35,-0.4,-367425,-25.9,83700,-50625,YES,11775,YES,22.1,21.7,22.5,21.55,58.45
04-04-2025 14:45,-6.05,78600,150,52650,80100,-5.65,-6.05,-27450,-226.25,33000,-4050,N,5625,N,360,353.95,362.45,349,257.04,04-04-2025 14:45,0.6,867975,181,2285325,1913250,0.6,0.6,372075,-23.75,64200,-26700,Y,-44550,Y,21.8,22.4,22.85,21.7,58.23
04-04-2025 14:50,1.2,96150,136,66225,82875,2.15,2.15,-16650,-204,32700,600,N,-9375,YES,354.8,356,357.6,347.7,257.28,04-04-2025 14:50,-0.65,861150,182,2243250,2074200,-0.7,-0.7,169050,-24.05,69450,-71400,YES,56850,YES,22.4,21.75,22.85,21.5,58
04-04-2025 14:55,6.85,184800,167,70350,99300,7.25,7.4,-28950,-257.55,42225,-4125,Y,-6750,N,356,362.85,369.3,356,257.76,04-04-2025 14:55,-0.85,1585725,180,2337225,2185725,-0.9,-0.9,151500,-25.2,64350,5850,Y,18000,N,21.8,20.95,21.8,20.1,57.59
04-04-2025 15:00,-22.95,243975,169,85200,84375,-22.45,-22.7,825,-256.5,38550,-24600,Y,-13050,YES,362.6,339.65,362.9,335.3,258.31,04-04-2025 15:00,2.2,1964625,181,2147175,2069925,2.1,2.1,77250,-26.85,74325,-43350,YES,-136950,Y,21,23.2,24,20.85,57.1
04-04-2025 15:05,-3.9,210225,164,87825,94050,-4.85,-4.95,-6225,-229.35,37950,6375,YES,3375,N,339.8,335.9,341.75,331.15,258.71,04-04-2025 15:05,0.85,1824525,181,1877550,2235825,1,1.05,-358275,-28.3,73950,32025,Y,-84600,YES,23.25,24.1,24.65,23.15,56.68
04-04-2025 15:10,3.35,106875,140,67125,74625,3.3,3.3,-7500,-208.7,47700,-6150,Y,48000,Y,336.7,340.05,342.1,334.65,258.92,04-04-2025 15:10,0.65,1350450,180,1988475,2617275,0.65,0.65,-628800,-25.5,76050,117600,Y,-97875,Y,24,24.65,24.65,23.3,56.38
04-04-2025 15:15,0.95,217275,158,69900,135375,-0.45,-0.65,-65475,-199.05,42150,-13050,Y,-47700,YES,338.35,339.3,346.6,337.85,259.36,04-04-2025 15:15,-0.65,1329900,176,2577900,2241075,-0.7,-0.65,336825,-26.6,72600,-75825,YES,17925,YES,24.75,24.1,24.75,23.15,56.08
04-04-2025 15:20,2.25,14850,22,10650,7800,3.35,3.4,2850,-31.2,7275,-1500,N,2175,Y,339.15,341.4,342,338.15,259.39,04-04-2025 15:20,-0.45,308175,30,311325,433125,-0.35,-0.4,-121800,-4.75,12150,-94050,YES,24075,N,24.25,23.8,24.55,23.65,56.01
04-04-2025 15:25,0,0,1,300,900,0,0,-600,-1.75,75,0,N,0,YES,329,329,329,329,260.23,04-04-2025 15:25,0,0,1,150,825,0,0,-675,-0.4,75,0,Y,0,Y,25.05,25.05,25.05,25.05,55.37
