last_traded_time,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_buy_sig,tot_sell_qty,tot_sell_sig,avg_trade_price,Open_NSE:NIFTY50-INDEX,Close_9,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,ltp,vol_traded_today,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price
03-12-2024 12:50,1,46250,-400,1150,0.8,1,19300,2300,N,8050,N,0.79,24550,24551,3.85,2135900,2700,200,3.65,3.75,27175,82375,-46925,0.23,-3.35,2301125,50,1250,-3.6,-3.5,29950,-59850,16750,-0.4,29.1,12000,-30,870,18.7,29.1,16815,2520,1035,1.15
03-12-2024 12:55,-7,24775,75,-1000,-6.45,-3,16125,-4600,YES,19950,N,0.45,24551,24544,-4.6,1745525,650,-1025,-4.2,-4.3,28525,-31175,47825,0.21,5.05,1744550,850,-1275,4.95,4.95,37925,39200,-8800,-0.3,-24.1,6480,-30,-855,-24.25,-23.35,5355,-3495,4785,0.66
03-12-2024 13:00,-11,24150,1775,200,-9.4,-11.6,15925,7750,N,2450,Y,0.35,24544,24533,-6.1,1998300,-650,275,-5.9,-5.9,27050,-70875,83700,0.14,4.7,2394025,-175,-150,4.95,5.05,31825,44775,-78750,-0.3,0.1,5115,285,0,-3.9,-6.95,5445,1125,-4305,0.45
03-12-2024 13:05,2.05,20725,-1600,150,2.05,0.95,14125,0,YES,-1700,Y,0.26,24533,24535.05,0.75,1385175,600,50,0.9,1,32250,84325,5475,0.1,0.3,1986850,-375,100,-0.55,-0.55,34075,-64875,2025,-0.19,5.25,4890,-255,15,21.4,14.65,5640,75,3255,0.49
03-12-2024 13:10,-9.55,26800,-300,300,-9.4,-8.2,16925,10600,N,-7425,Y,0.31,24535.05,24525.5,-3.45,1866075,275,-175,-3.4,-3.4,30375,-25525,22900,0.08,4,2404975,-25,25,4.05,3.95,33900,19900,-90325,-0.15,-3.75,6405,30,-15,-8,-6.15,7005,24135,-45,0.57
03-12-2024 13:15,11.5,65650,225,50,7.4,12,16675,-8575,YES,-7925,Y,0.55,24525.55,24537.05,3.6,2313200,1500,-200,3.55,3.55,30300,56475,-64850,0.09,-3.95,3346575,-125,-350,-3.3,-3.15,34775,-74650,4300,-0.13,16.75,12960,15,0,7.95,12.45,7200,-1605,-3570,1.02
03-12-2024 13:20,-5.05,47425,475,25,-0.5,1.15,14300,6450,N,8050,N,0.64,24537.05,24532,1.55,2084425,250,-125,1.35,1.45,28725,33850,107625,0.15,-2.3,1725875,375,1500,-2.25,-2.2,35450,82575,63200,-0.15,-2.8,7035,15,15,10.1,-0.65,6705,-1425,6615,0.63
03-12-2024 13:25,0.3,64500,-525,-125,0.55,2.5,14625,13325,N,-9900,Y,0.85,24532,24532.3,-0.75,1979975,275,0,-0.5,-0.5,30225,-77400,12450,0.14,-0.15,1356825,-2950,-5375,0,-0.05,33000,29975,-12175,-0.13,-12.7,8625,0,0,-10.1,-11.65,5640,-615,-3795,0.86
03-12-2024 13:30,37.05,108450,200,-25,41.1,37.8,16475,8100,N,-66725,Y,2.06,24536.6,24573.65,27.25,7489625,75,-375,26.45,26.65,28925,-906450,-615700,1.19,-13.6,4497000,-275,275,-13.8,-13.6,31975,-169575,22075,-0.75,43.7,20730,0,60,29.75,41.2,8610,315,-5865,2.29
03-12-2024 13:35,-4,134725,-25,-1900,-3.45,-3,20100,-400,YES,5450,YES,2.5,24573,24569,-3,3812575,-275,-375,-2.35,-2.3,28300,17950,67250,0.67,-1.65,2443325,-250,-775,-1.75,-1.75,30975,-5050,123475,-0.43,-7.35,11100,90,0,1.95,-7.9,10305,555,1005,1.2
03-12-2024 13:40,-4.05,159700,75,100,-6.1,-4.05,18200,2900,N,-6475,Y,3.3,24569,24564.95,-6.6,4657500,-75,-225,-6.1,-6.15,26025,-200025,12725,0.87,3.6,2962150,25,-1000,3.3,3.35,30500,61025,-90000,-0.58,-28.1,37725,0,-285,-24.85,-16.3,14880,-3360,-1140,3.86
03-12-2024 13:45,14,47700,25,-100,15.1,15.6,12725,9350,N,46075,YES,0.87,24565,24579,6.6,2346950,50,300,7,6.9,28650,86025,34525,0.38,-5.8,2040400,575,-375,-5.8,-5.8,33325,-8500,113950,-0.37,32.8,20055,360,-195,23,32.9,9690,1875,1050,1.78
03-12-2024 13:50,2,41125,75,200,2.65,1.7,12825,7775,N,2400,Y,0.79,24580,24582,3.15,1305600,-25,325,2.5,2.5,25425,56400,-27100,0.22,-2.5,1232200,-600,75,-1.95,-1.75,31100,40975,60050,-0.24,10.3,13050,15,0,4.45,-0.3,7860,495,-795,1.25
03-12-2024 13:55,-5.35,41225,-225,0,-5.1,-3.35,13950,-16400,YES,8425,N,0.81,24582,24576.65,-4.65,1947200,-1225,-175,-4.75,-4.45,24825,-123975,15425,0.34,1.65,1864950,-175,675,1.85,1.9,32675,51850,-61875,-0.4,-7.55,19140,0,0,-7.6,0.75,9075,-6900,-1920,1.95
03-12-2024 14:00,0.85,31200,-100,125,1.05,3.5,13150,5650,Y,1650,Y,0.58,24576.65,24577.5,3.5,1718775,-50,-450,3.25,3.3,27875,86550,-68300,0.27,-2.4,1570350,-100,-325,-2.1,-2.15,35325,12775,52550,-0.31,18.25,21300,15,30,18.25,20.05,12390,4305,-1770,2.34
03-12-2024 14:05,7,65525,300,25,4.85,5.5,16150,125,YES,-5000,Y,1.08,24577,24584,1.1,1655900,-175,-150,1.6,1.45,28100,-5000,-62450,0.25,-1.2,1759850,350,125,-1.2,-1.25,35600,550,27325,-0.33,-1.85,14220,345,15,-1.3,5.55,7140,2415,2640,1.33
